release_id,title,artist_name,artist_id,primary_type,secondary_types,first_release_date,release_year
fb86e74d-dbaf-4613-8b22-1d7bc5d51ecb,The Lord of the Rings Online: Update 35: Return to Carn Dûm Soundtrack,Bill Champagne,27b061ce-33d4-468e-8bdb-7d5f1ff310ef,Album,Soundtrack,2023-09-21,2023
2fa6ca7e-d415-49c4-945c-6baee125a5bb,Holga Date,Aaron Cherof,68801059-353e-435a-8d2b-cf60bb42a65e,Album,Soundtrack,2024-10-04,2024
7cd903a0-bb0c-4e74-85d7-729d88895342,Odysseus 2024 Soundtrack,Hannu Sinervä,77f48ece-d133-4482-917c-72648c664ca1,Album,Soundtrack,2024-06-06,2024
4e9847d4-53a2-48cf-b05c-84b5e30ed9b0,2024 World Championship Theme,Richard Thompson,ecfeacaf-0399-470f-8207-d1c646569fd0,Single,Soundtrack,2024-09-13,2024
7f4e647f-4470-4d6a-922a-eb9e5a335221,Minecraft Live: 2024 (Original Soundtrack),Camilo Forero,e75f22f5-8e78-45f3-9300-46f861752e98,Album,"Soundtrack, Live",2024-09-28,2024
06c04387-ad06-4532-84e5-b94bdd3bd56f,RUSH: The Music of EVO 2024,Zaid Tabani,de136b08-5752-4c07-97d6-9e2d01ed05cc,Album,Soundtrack,2024-07-22,2024
85e4698a-892b-4bc6-9927-e2952a40adca,Virtual Market Summer 2024 Official Soundtrack,HIKKY,a725a053-95d5-40af-8f4b-9344486de786,Album,Soundtrack,2024-08-15,2024
b221b11b-82b4-4a1e-966b-c29c6bd91885,How to Date Billy Walsh (Original Motion Picture Soundtrack),Rob Lord,c57bb0a4-aed2-4920-b52e-8ac1134a4171,Album,Soundtrack,2024-04-16,2024
e300d042-cd8f-4a42-ac5e-7297b9823edf,The Lord of the Rings Online: Update 38: Corsairs of Umbar Official Game Soundtrack,Bill Champagne,27b061ce-33d4-468e-8bdb-7d5f1ff310ef,Album,Soundtrack,2024-01-19,2024
94522ced-3a8b-4ca2-b213-0358cea1fc8b,Make That Body Move (Warrior Workout 2024 OST),Act of Rage,67a8a552-e9b1-45e0-9c9f-de7d760eb021,Single,Soundtrack,2024-05-03,2024
07c09132-312b-4e28-9f83-d3da2206773d,Sea of Thieves Original Soundtrack - 2024 Edition,Sea of Thieves,e5c886c1-68bd-4c31-b71c-82609fbe1b28,Album,Soundtrack,2024-03-14,2024
3dcae697-9208-46fa-b549-f4397795f083,SILENT HILL 2 ORIGINAL SOUNDTRACK -2024- Extra Edition,Akira Yamaoka,23a32153-7314-4359-a5cd-9e584fe83504,Album,Soundtrack,2024-11-20,2024
da34fe93-d809-4809-8fa3-469243cf4b46,Sonic 2 SMS 16-Bit - CGS 2024 DEMO OST,LunarCryptik,ac1f0ca0-ab71-42f2-8323-220779bca528,Other,Soundtrack,2024-11-03,2024
c7c93edd-0cc3-4cdb-a056-c17fa94488a8,Honor of Kings: Chinese New Year 2024 (Original Game Soundtrack),Various Artists,89ad4ac3-39f7-470e-963a-56509c546377,EP,Soundtrack,2024-02-19,2024
