tmdb_id,discogs_id,tmdb_title,discogs_title,tmdb_year,discogs_year,token_score,partial_score,hybrid_score,year_diff
,,alien,jerry goldsmith alien,2017.0,2017.0,38.46153846153846,100.0,56.92,0.0
,,alien and me,jerry goldsmith alien,2016.0,2017.0,54.54545454545454,58.82352941176471,55.83,1.0
,,alien psychosis,jerry goldsmith alien,2018.0,2017.0,50.0,50.0,50.0,1.0
,,alien on earth,jerry goldsmith alien,1980.0,1979.0,51.42857142857142,52.63157894736843,51.79,1.0
,,maybe aliens,jerry goldsmith alien,2017.0,2017.0,48.484848484848484,66.66666666666667,53.94,0.0
,,luis and the aliens,jerry goldsmith alien,2018.0,2017.0,55.00000000000001,64.28571428571428,57.79,1.0
,,amelie,yann tiersen amelie,2001.0,2001.0,48.0,100.0,63.6,0.0
,,amelie,yann tiersen amelie,2001.0,2001.0,48.0,100.0,63.6,0.0
,,amelie,yann tiersen amelie,2001.0,,48.0,100.0,63.6,
,,amelie,yann tiersen amelie,2001.0,,48.0,100.0,63.6,
,,amelie,yann tiersen amelie,2001.0,,48.0,100.0,63.6,
,,amelie,yann tiersen amelie,2021.0,,48.0,100.0,63.6,
,,amelie,yann tiersen amelie,2021.0,,48.0,100.0,63.6,
,,amelie,yann tiersen amelie,2021.0,,48.0,100.0,63.6,
,,little amelie or the character of rain,yann tiersen amelie,2025.0,,49.122807017543856,56.25,51.26,
,,little amelie or the character of rain,yann tiersen amelie,2025.0,,49.122807017543856,56.25,51.26,
,,little amelie or the character of rain,yann tiersen amelie,2025.0,,49.122807017543856,56.25,51.26,
,,amelie the real story,yann tiersen amelie,2023.0,,55.00000000000001,48.0,52.9,
,,amelie the real story,yann tiersen amelie,2023.0,,55.00000000000001,48.0,52.9,
,,amelie the real story,yann tiersen amelie,2023.0,,55.00000000000001,48.0,52.9,
,,romance with amelie,yann tiersen amelie,1982.0,,52.63157894736843,62.857142857142854,55.7,
,,romance with amelie,yann tiersen amelie,1982.0,,52.63157894736843,62.857142857142854,55.7,
,,romance with amelie,yann tiersen amelie,1982.0,,52.63157894736843,62.857142857142854,55.7,
,,take care of amelie,yann tiersen amelie,1932.0,,57.89473684210527,66.66666666666667,60.53,
,,take care of amelie,yann tiersen amelie,1932.0,,57.89473684210527,66.66666666666667,60.53,
,,take care of amelie,yann tiersen amelie,1932.0,,57.89473684210527,66.66666666666667,60.53,
,,amelie or the time to love,yann tiersen amelie,1961.0,,48.88888888888889,48.0,48.62,
,,amelie or the time to love,yann tiersen amelie,1961.0,,48.88888888888889,48.0,48.62,
,,amelie or the time to love,yann tiersen amelie,1961.0,,48.88888888888889,48.0,48.62,
,,amelie au pays des bodin,yann tiersen amelie,2010.0,,55.81395348837209,48.0,53.47,
,,amelie au pays des bodin,yann tiersen amelie,2010.0,,55.81395348837209,48.0,53.47,
,,amelie au pays des bodin,yann tiersen amelie,2010.0,,55.81395348837209,48.0,53.47,
,,amelie oudea castera jeux decisifs,yann tiersen amelie,2025.0,,52.83018867924528,48.0,51.38,
,,amelie oudea castera jeux decisifs,yann tiersen amelie,2025.0,,52.83018867924528,48.0,51.38,
,,amelie oudea castera jeux decisifs,yann tiersen amelie,2025.0,,52.83018867924528,48.0,51.38,
,,capitaine casta amelie disparu,yann tiersen amelie,2007.0,,53.06122448979591,57.89473684210527,54.51,
,,capitaine casta amelie disparu,yann tiersen amelie,2007.0,,53.06122448979591,57.89473684210527,54.51,
,,capitaine casta amelie disparu,yann tiersen amelie,2007.0,,53.06122448979591,57.89473684210527,54.51,
,,mountain miracle,yann tiersen amelie,2017.0,,40.0,50.0,43.0,
,,mountain miracle,yann tiersen amelie,2017.0,,40.0,50.0,43.0,
,,mountain miracle,yann tiersen amelie,2017.0,,40.0,50.0,43.0,
,,liebe amelie,yann tiersen amelie,2005.0,,64.51612903225806,76.19047619047619,68.02,
,,liebe amelie,yann tiersen amelie,2005.0,,64.51612903225806,76.19047619047619,68.02,
,,liebe amelie,yann tiersen amelie,2005.0,,64.51612903225806,76.19047619047619,68.02,
,,amelie nothomb une vie entre deux eaux,yann tiersen amelie,2012.0,,45.614035087719294,48.0,46.33,
,,amelie nothomb une vie entre deux eaux,yann tiersen amelie,2012.0,,45.614035087719294,48.0,46.33,
,,amelie nothomb une vie entre deux eaux,yann tiersen amelie,2012.0,,45.614035087719294,48.0,46.33,
,,amelie ich komme,yann tiersen amelie,1986.0,,51.42857142857142,54.54545454545454,52.36,
,,amelie ich komme,yann tiersen amelie,1986.0,,51.42857142857142,54.54545454545454,52.36,
,,amelie ich komme,yann tiersen amelie,1986.0,,51.42857142857142,54.54545454545454,52.36,
,,keep an eye on amelia,yann tiersen amelie,1949.0,,55.00000000000001,68.57142857142857,59.07,
,,keep an eye on amelia,yann tiersen amelie,1949.0,,55.00000000000001,68.57142857142857,59.07,
,,keep an eye on amelia,yann tiersen amelie,1949.0,,55.00000000000001,68.57142857142857,59.07,
,,occupe toi amelie,yann tiersen amelie,2012.0,,50.0,62.5,53.75,
,,occupe toi amelie,yann tiersen amelie,2012.0,,50.0,62.5,53.75,
,,occupe toi amelie,yann tiersen amelie,2012.0,,50.0,62.5,53.75,
,,amie amelie,yann tiersen amelie,2014.0,,60.0,80.0,66.0,
,,amie amelie,yann tiersen amelie,2014.0,,60.0,80.0,66.0,
,,amie amelie,yann tiersen amelie,2014.0,,60.0,80.0,66.0,
,,amelie albrecht zwaar leven,yann tiersen amelie,2021.0,,52.17391304347826,48.0,50.92,
,,amelie albrecht zwaar leven,yann tiersen amelie,2021.0,,52.17391304347826,48.0,50.92,
,,amelie albrecht zwaar leven,yann tiersen amelie,2021.0,,52.17391304347826,48.0,50.92,
,,le voyage amelie,yann tiersen amelie,1974.0,,62.857142857142854,64.28571428571428,63.29,
,,le voyage amelie,yann tiersen amelie,1974.0,,62.857142857142854,64.28571428571428,63.29,
,,le voyage amelie,yann tiersen amelie,1974.0,,62.857142857142854,64.28571428571428,63.29,
,,la passarella di amelie,yann tiersen amelie,2025.0,,52.38095238095239,66.66666666666667,56.67,
,,la passarella di amelie,yann tiersen amelie,2025.0,,52.38095238095239,66.66666666666667,56.67,
,,la passarella di amelie,yann tiersen amelie,2025.0,,52.38095238095239,66.66666666666667,56.67,
