movie_ref,discogs_title_norm,tmdb_title_norm,discogs_year,tmdb_year,discogs_genre,tmdb_genre,discogs_style,score
Aquaman,rupert gregson williams aquaman,aquaman,2018,2016,"Electronic, Classical, Stage & Screen",,"Score, Soundtrack, Synth-pop, Modern Classical",90.0
Avengers Age of Ultron,brian tyler danny elfman avengers age of ultron,avengers age of ultron,2015,2015,Stage & Screen,,"Score, Soundtrack",90.0
Avengers Age of Ultron,brian tyler danny elfman avengers age of ultron,avengers age of ultron,2015,2015,Stage & Screen,,"Score, Soundtrack",90.0
Avengers Age of Ultron,brian tyler danny elfman avengers age of ultron,avengers age of ultron,2015,2015,Stage & Screen,,"Score, Soundtrack",90.0
Avengers Age of Ultron,brian tyler danny elfman avengers age of ultron,avengers age of ultron,2015,2015,Stage & Screen,,"Score, Soundtrack",90.0
Avengers Age of Ultron,brian tyler danny elfman avengers age of ultron,avengers age of ultron,2015,2015,Stage & Screen,,"Score, Soundtrack",90.0
Avengers Age of Ultron,brian tyler danny elfman avengers age of ultron,avengers age of ultron,2015,2015,Stage & Screen,,"Score, Soundtrack",90.0
Avengers Age of Ultron,brian tyler danny elfman avengers age of ultron,avengers age of ultron,2015,2015,Stage & Screen,,"Score, Soundtrack",90.0
Avengers Age of Ultron,brian tyler danny elfman avengers age of ultron,avengers age of ultron,2015,2015,Stage & Screen,,"Score, Soundtrack",90.0
Avengers Infinity War,alan silvestri avengers infinity war,avengers infinity war,2020,2018,Stage & Screen,,"Score, Soundtrack",90.0
Avengers Infinity War,alan silvestri avengers infinity war,avengers infinity war,2018,2018,Stage & Screen,,"Soundtrack, Score",90.0
Avengers Infinity War,alan silvestri avengers infinity war,avengers infinity war,2020,2018,Stage & Screen,,"Score, Soundtrack",90.0
Avengers Infinity War,alan silvestri avengers infinity war,avengers infinity war,2018,2018,Stage & Screen,,"Soundtrack, Score",90.0
Avengers Infinity War,alan silvestri avengers infinity war,avengers infinity war,2020,2018,Stage & Screen,,"Score, Soundtrack",90.0
Avengers Infinity War,alan silvestri avengers infinity war,avengers infinity war,2018,2018,Stage & Screen,,"Soundtrack, Score",90.0
Avengers Infinity War,alan silvestri avengers infinity war,avengers infinity war,2020,2018,Stage & Screen,,"Score, Soundtrack",90.0
Avengers Infinity War,alan silvestri avengers infinity war,avengers infinity war,2018,2018,Stage & Screen,,"Soundtrack, Score",90.0
Baby Driver,various baby driver,baby driver,2017,2017,"Rock, Funk / Soul, Blues, Stage & Screen",,Soundtrack,90.0
Baby Driver,various baby driver,baby driver cartoon bellbottoms,2017,,"Rock, Funk / Soul, Blues, Stage & Screen",,Soundtrack,85.5
Baby Driver,various baby driver,baby driver,2017,,"Rock, Funk / Soul, Blues, Stage & Screen",,Soundtrack,90.0
Baby Driver,various baby driver,baby driver,2017,2017,"Hip Hop, Rock, Funk / Soul, Stage & Screen",,Soundtrack,90.0
Baby Driver,various baby driver,baby driver cartoon bellbottoms,2017,,"Hip Hop, Rock, Funk / Soul, Stage & Screen",,Soundtrack,85.5
Baby Driver,various baby driver,baby driver,2017,,"Hip Hop, Rock, Funk / Soul, Stage & Screen",,Soundtrack,90.0
Baby Driver,various baby driver,baby driver,2017,2017,"Rock, Stage & Screen",,"Soundtrack, Indie Rock",90.0
Baby Driver,various baby driver,baby driver cartoon bellbottoms,2017,,"Rock, Stage & Screen",,"Soundtrack, Indie Rock",85.5
Baby Driver,various baby driver,baby driver,2017,,"Rock, Stage & Screen",,"Soundtrack, Indie Rock",90.0
Baby Driver,various baby driver,baby driver,2017,2017,"Rock, Funk / Soul, Blues, Stage & Screen",,Soundtrack,90.0
Baby Driver,various baby driver,baby driver cartoon bellbottoms,2017,,"Rock, Funk / Soul, Blues, Stage & Screen",,Soundtrack,85.5
Baby Driver,various baby driver,baby driver,2017,,"Rock, Funk / Soul, Blues, Stage & Screen",,Soundtrack,90.0
Baby Driver,various baby driver,baby driver,2017,2017,"Hip Hop, Rock, Funk / Soul, Stage & Screen",,Soundtrack,90.0
Baby Driver,various baby driver,baby driver cartoon bellbottoms,2017,,"Hip Hop, Rock, Funk / Soul, Stage & Screen",,Soundtrack,85.5
Baby Driver,various baby driver,baby driver,2017,,"Hip Hop, Rock, Funk / Soul, Stage & Screen",,Soundtrack,90.0
Baby Driver,various baby driver,baby driver,2017,2017,"Rock, Stage & Screen",,"Soundtrack, Indie Rock",90.0
Baby Driver,various baby driver,baby driver cartoon bellbottoms,2017,,"Rock, Stage & Screen",,"Soundtrack, Indie Rock",85.5
Baby Driver,various baby driver,baby driver,2017,,"Rock, Stage & Screen",,"Soundtrack, Indie Rock",90.0
Back to the Future,various back to the future,back to the future,1985,1985,"Rock, Stage & Screen",,"Soundtrack, Theme, Doo Wop, Pop Rock, Synth-pop",95.0
Back to the Future,various back to the future,looking back to the future raymond loewy industrial designer,1985,1985,"Rock, Stage & Screen",,"Soundtrack, Theme, Doo Wop, Pop Rock, Synth-pop",85.5
Back to the Future,various back to the future,back to the future,1985,1985,"Rock, Stage & Screen",,"Soundtrack, Theme, Doo Wop, Pop Rock, Synth-pop",95.0
Back to the Future,various back to the future,looking back to the future raymond loewy industrial designer,1985,1985,"Rock, Stage & Screen",,"Soundtrack, Theme, Doo Wop, Pop Rock, Synth-pop",85.5
Back to the Future Part II,alan silvestri back to the future,back to the future,1990,1989,"Classical, Stage & Screen",,"Neo-Classical, Soundtrack",90.0
Back to the Future Part II,alan silvestri back to the future,back to the future,1990,1990,"Classical, Stage & Screen",,"Neo-Classical, Soundtrack",90.0
Back to the Future Part II,alan silvestri back to the future,back to the future behind the scenes special presentation,1990,1989,"Classical, Stage & Screen",,"Neo-Classical, Soundtrack",85.5
Back to the Future Part II,alan silvestri back to the future,back to the future,1990,1989,"Classical, Folk, World, & Country, Stage & Screen",,"Contemporary, Neo-Classical, Score, Country",90.0
Back to the Future Part II,alan silvestri back to the future,back to the future,1990,1990,"Classical, Folk, World, & Country, Stage & Screen",,"Contemporary, Neo-Classical, Score, Country",90.0
Back to the Future Part II,alan silvestri back to the future,back to the future behind the scenes special presentation,1990,1989,"Classical, Folk, World, & Country, Stage & Screen",,"Contemporary, Neo-Classical, Score, Country",85.5
Back to the Future Part II,alan silvestri back to the future,back to the future,1990,1989,"Classical, Stage & Screen",,"Neo-Classical, Soundtrack",90.0
Back to the Future Part II,alan silvestri back to the future,back to the future,1990,1990,"Classical, Stage & Screen",,"Neo-Classical, Soundtrack",90.0
Back to the Future Part II,alan silvestri back to the future,back to the future behind the scenes special presentation,1990,1989,"Classical, Stage & Screen",,"Neo-Classical, Soundtrack",85.5
Back to the Future Part II,alan silvestri back to the future,back to the future,1990,1989,"Classical, Folk, World, & Country, Stage & Screen",,"Contemporary, Neo-Classical, Score, Country",90.0
Back to the Future Part II,alan silvestri back to the future,back to the future,1990,1990,"Classical, Folk, World, & Country, Stage & Screen",,"Contemporary, Neo-Classical, Score, Country",90.0
Back to the Future Part II,alan silvestri back to the future,back to the future behind the scenes special presentation,1990,1989,"Classical, Folk, World, & Country, Stage & Screen",,"Contemporary, Neo-Classical, Score, Country",85.5
Batman Begins,hans zimmer and james newton howard batman begins,batman begins,2005,2005,"Electronic, Jazz, Stage & Screen",,"Soundtrack, Modern Classical, Easy Listening",90.0
Batman Begins,hans zimmer and james newton howard batman begins,batman begins,2005,2005,"Electronic, Stage & Screen",,"Soundtrack, Modern Classical, Score",90.0
Batman Begins,hans zimmer and james newton howard batman begins,batman begins,2005,2005,"Electronic, Jazz, Stage & Screen",,"Soundtrack, Modern Classical, Easy Listening",90.0
Batman Begins,hans zimmer and james newton howard batman begins,batman begins,2005,2005,"Electronic, Stage & Screen",,"Soundtrack, Modern Classical, Score",90.0
Batman Returns,danny elfman batman returns,batman returns,1992,1992,"Rock, Classical, Stage & Screen",,"Soundtrack, Score, Contemporary",90.0
Batman Returns,danny elfman batman returns,batman returns,1992,1992,"Electronic, Rock, Pop, Classical, Stage & Screen",,"New Wave, Abstract, Ambient, Dark Ambient, Theme, Score, Soundtrack",90.0
Batman Returns,danny elfman batman returns,batman returns,1992,1992,"Rock, Classical, Stage & Screen",,"Soundtrack, Score, Contemporary",90.0
Batman Returns,danny elfman batman returns,batman returns,1992,1992,"Electronic, Rock, Pop, Classical, Stage & Screen",,"New Wave, Abstract, Ambient, Dark Ambient, Theme, Score, Soundtrack",90.0
Beetlejuice,various beetlejuice beetlejuice,beetlejuice beetlejuice,2024,2024,"Electronic, Rock, Stage & Screen",,"Soundtrack, Disco, Score, Alternative Rock",95.0
Beetlejuice,danny elfman beetlejuice,beetlejuice beetlejuice,2024,2024,Stage & Screen,,Score,95.0
Beetlejuice,various beetlejuice beetlejuice,beetlejuice beetlejuice,2024,2024,"Electronic, Rock, Stage & Screen",,"Soundtrack, Disco, Score, Alternative Rock",95.0
Beetlejuice,danny elfman beetlejuice,beetlejuice beetlejuice,2024,2024,Stage & Screen,,Score,95.0
Black Hawk Down,hans zimmer black hawk down,black hawk down,2001,2001,"Electronic, Rock, Stage & Screen",,"Soundtrack, Modern Classical, Ambient",90.0
Black Hawk Down,hans zimmer black hawk down,black hawk down,2002,2001,"Electronic, Rock, Stage & Screen",,"Score, Modern Classical, Ambient",90.0
Black Hawk Down,hans zimmer black hawk down,black hawk down,,2001,"Electronic, Rock, Stage & Screen",,"Soundtrack, Modern Classical, Ambient",90.0
